producto,precio
Ketchup Hellmanns 500 gr,"$ 175,86   por 1 unidad/es"
Mayonesa Hellmanns Light 237 gr,"$ 60,36   por 1 unidad/es"
Mayonesa Hellmanns clásica 475 gr,"$ 96,16   por 1 unidad/es"
Mayonesa Light BC La Campagnola 500 gr,"$ 167,03   por 1 unidad/es"
Mostaza Natura 500 gr,"$ 96,20   por 1 unidad/es"
Mostaza Savora 250 gr.,"$ 73,67   por 1 unidad/es"
Salsa Caesar Light Dos Anclas x 360 Gr.,"$ 213,21   por 1 unidad/es"
Salsa De Barbacoa Dos Anclas x 425 Gr.,"$ 178,74   por 1 unidad/es"
